                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3055,                0.91843,                 1.0633,                0.65064,                0.36736,                0.34691,                0.17244,                 1.5104,                0.86042,                 1.1347,              0.0033275,              0.0033275,              0.0033275
                      2,                 1.0526,                0.57796,                0.96939,                0.60572,                 0.3669,                0.38831,                0.19529,                 1.4789,                0.83767,                 1.1533,              0.0065949,              0.0065949,              0.0065949
                      3,                  1.014,                0.57439,                0.96059,                0.57746,                0.31037,                0.31491,                0.14912,                 1.5653,                 1.1081,                 1.2129,              0.0097963,              0.0097963,              0.0097963
                      4,                0.99649,                0.57094,                0.96361,                0.60367,                0.33361,                0.36638,                0.17776,                  1.518,                0.90526,                  1.179,               0.009703,               0.009703,               0.009703
                      5,                0.88326,                0.51329,                0.93235,                0.64245,                0.35239,                0.40059,                0.19647,                 1.5007,                 0.9146,                 1.1772,               0.009604,               0.009604,               0.009604
                      6,                0.81082,                0.47155,                0.91481,                0.61829,                0.37647,                0.41669,                0.20557,                 1.4676,                0.86953,                 1.1556,               0.009505,               0.009505,               0.009505
                      7,                0.75326,                0.44467,                0.90019,                0.63043,                0.37122,                 0.4336,                0.21664,                 1.4657,                0.84714,                 1.1566,               0.009406,               0.009406,               0.009406
                      8,                0.71031,                0.42241,                0.89067,                0.50404,                0.45556,                0.45424,                0.23073,                 1.4377,                0.79335,                 1.1548,               0.009307,               0.009307,               0.009307
                      9,                0.68437,                0.41011,                0.88613,                0.64331,                0.41103,                0.46847,                  0.241,                 1.4308,                0.79888,                 1.1348,               0.009208,               0.009208,               0.009208
                     10,                0.65831,                0.39389,                0.87922,                0.66077,                0.41391,                0.47002,                0.24068,                  1.424,                0.78548,                 1.1415,               0.009109,               0.009109,               0.009109
                     11,                0.63432,                0.38188,                0.87418,                0.50306,                0.41564,                0.47111,                 0.2474,                  1.407,                0.78333,                 1.1314,                0.00901,                0.00901,                0.00901
                     12,                0.61929,                0.37346,                0.87036,                0.65324,                0.44028,                0.48223,                0.24389,                 1.4107,                0.76161,                 1.1311,               0.008911,               0.008911,               0.008911
                     13,                0.60685,                0.36535,                0.86847,                0.65673,                0.44177,                0.49952,                0.25755,                 1.4082,                0.74708,                 1.1323,               0.008812,               0.008812,               0.008812
                     14,                0.58975,                0.35751,                0.86617,                0.62385,                 0.4737,                 0.5005,                0.26444,                 1.3841,                0.73884,                 1.1205,               0.008713,               0.008713,               0.008713
                     15,                0.57903,                0.35233,                0.86381,                0.55499,                0.45246,                0.50555,                0.26837,                 1.3712,                 0.7329,                  1.117,               0.008614,               0.008614,               0.008614
                     16,                0.57028,                0.34566,                0.86087,                0.58414,                0.50107,                0.51716,                0.27585,                 1.3741,                0.73056,                 1.1138,               0.008515,               0.008515,               0.008515
                     17,                0.55917,                0.34102,                 0.8587,                0.65286,                0.48399,                0.52268,                 0.2778,                 1.3607,                0.71778,                 1.1074,               0.008416,               0.008416,               0.008416
                     18,                0.55482,                0.33779,                0.85742,                0.69843,                0.45438,                0.52225,                0.28154,                 1.3527,                0.71449,                 1.0999,               0.008317,               0.008317,               0.008317
                     19,                0.54412,                0.33168,                0.85495,                0.65719,                0.50215,                0.54708,                0.29626,                 1.3449,                0.70669,                 1.0984,               0.008218,               0.008218,               0.008218
                     20,                 0.5361,                0.32692,                0.85465,                0.72927,                0.45985,                0.55828,                0.30157,                 1.3384,                0.69807,                  1.102,               0.008119,               0.008119,               0.008119
                     21,                0.53423,                  0.325,                0.85398,                 0.6167,                0.51284,                0.55403,                0.30329,                 1.3346,                0.68726,                 1.0953,                0.00802,                0.00802,                0.00802
                     22,                0.52571,                 0.3189,                0.85283,                 0.6792,                0.51042,                0.56733,                0.31038,                 1.3267,                0.68903,                 1.0931,               0.007921,               0.007921,               0.007921
                     23,                0.52175,                0.31792,                0.85019,                0.65961,                0.51493,                0.56189,                 0.3077,                 1.3324,                0.67962,                 1.0972,               0.007822,               0.007822,               0.007822
