                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5633,                 1.7063,                   1.11,                0.56911,                0.31415,                0.25695,                0.12571,                 1.5574,                  1.129,                 1.0976,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.5241,                 1.2358,                 1.0984,                0.67519,                0.33706,                0.33836,                0.16413,                 1.5399,                 1.0663,                 1.1097,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.5392,                 1.1494,                 1.1128,                0.54546,                0.34616,                0.36442,                0.17543,                  1.573,                 1.1264,                 1.1368,              0.0097991,              0.0097991,              0.0097991
                      4,                 1.5383,                 1.0612,                 1.1206,                0.62284,                 0.3735,                0.40231,                0.19917,                 1.5325,                0.98875,                 1.1154,               0.009703,               0.009703,               0.009703
                      5,                 1.5062,                0.98867,                 1.1069,                0.65805,                0.42693,                0.43265,                0.21674,                 1.5137,                0.95502,                 1.1055,               0.009604,               0.009604,               0.009604
                      6,                 1.4846,                0.94385,                 1.0991,                0.68547,                 0.4431,                0.45762,                0.23122,                  1.475,                0.92069,                  1.092,               0.009505,               0.009505,               0.009505
                      7,                 1.4584,                 0.9127,                  1.087,                0.70167,                0.40753,                0.47947,                0.24437,                 1.4534,                0.88279,                 1.0789,               0.009406,               0.009406,               0.009406
                      8,                  1.443,                0.89201,                   1.08,                0.72321,                0.46624,                0.50074,                 0.2631,                 1.4411,                0.87094,                 1.0755,               0.009307,               0.009307,               0.009307
                      9,                 1.4368,                0.87972,                 1.0764,                0.66918,                0.44918,                0.51581,                0.26629,                 1.4501,                0.86567,                 1.0751,               0.009208,               0.009208,               0.009208
                     10,                 1.4185,                 0.8625,                 1.0706,                0.65913,                0.48068,                0.54021,                 0.2846,                 1.4258,                0.82975,                 1.0679,               0.009109,               0.009109,               0.009109
                     11,                 1.4081,                0.84586,                 1.0664,                0.70586,                0.48055,                0.54633,                0.28907,                 1.4114,                0.82264,                 1.0605,                0.00901,                0.00901,                0.00901
                     12,                 1.3993,                 0.8346,                 1.0626,                0.67277,                0.50849,                 0.5567,                0.29274,                 1.4005,                0.80724,                 1.0595,               0.008911,               0.008911,               0.008911
                     13,                 1.3904,                0.82482,                 1.0597,                0.78363,                0.49825,                0.55998,                0.30073,                 1.3887,                0.79676,                 1.0516,               0.008812,               0.008812,               0.008812
                     14,                 1.3831,                0.81684,                 1.0549,                0.69392,                0.50256,                0.57234,                0.30567,                 1.3889,                0.78104,                 1.0558,               0.008713,               0.008713,               0.008713
                     15,                 1.3755,                0.80976,                 1.0524,                0.81924,                0.49927,                 0.5766,                0.31096,                 1.3689,                0.77454,                 1.0449,               0.008614,               0.008614,               0.008614
                     16,                 1.3708,                0.80528,                 1.0496,                0.79266,                0.52287,                0.58939,                0.31797,                 1.3578,                0.75878,                 1.0381,               0.008515,               0.008515,               0.008515
                     17,                 1.3636,                0.79453,                 1.0473,                0.81541,                0.51755,                0.59305,                0.32401,                 1.3579,                0.75178,                 1.0414,               0.008416,               0.008416,               0.008416
                     18,                 1.3523,                0.78712,                 1.0425,                0.81956,                0.52437,                0.59905,                0.32442,                 1.3479,                0.73937,                 1.0346,               0.008317,               0.008317,               0.008317
                     19,                 1.3531,                0.78237,                 1.0415,                0.79604,                0.54215,                0.61029,                0.33841,                 1.3425,                0.73235,                 1.0321,               0.008218,               0.008218,               0.008218
                     20,                 1.3442,                0.77625,                 1.0395,                0.82307,                 0.5326,                0.61339,                0.33943,                 1.3319,                0.73224,                 1.0291,               0.008119,               0.008119,               0.008119
                     21,                 1.3369,                0.76995,                 1.0358,                0.81603,                0.55041,                0.63122,                0.35018,                 1.3243,                0.72063,                 1.0251,                0.00802,                0.00802,                0.00802
                     22,                 1.3318,                0.76757,                 1.0355,                0.81718,                0.54608,                0.62443,                0.34548,                  1.315,                0.71119,                 1.0219,               0.007921,               0.007921,               0.007921
                     23,                 1.3277,                 0.7603,                 1.0338,                0.83367,                0.54578,                0.63908,                0.35395,                  1.311,                 0.7049,                 1.0223,               0.007822,               0.007822,               0.007822
                     24,                 1.3209,                0.75605,                 1.0314,                0.84852,                0.54801,                0.64156,                0.35697,                 1.3091,                0.69542,                 1.0182,               0.007723,               0.007723,               0.007723
                     25,                 1.3183,                0.75176,                 1.0316,                0.82727,                0.55466,                0.63731,                0.35652,                 1.3059,                  0.694,                 1.0198,               0.007624,               0.007624,               0.007624
                     26,                 1.3092,                0.74557,                 1.0269,                0.82293,                0.56389,                0.64927,                0.36021,                 1.2967,                0.68857,                 1.0164,               0.007525,               0.007525,               0.007525
                     27,                 1.3068,                0.74083,                 1.0259,                0.83785,                0.55567,                0.64613,                0.36292,                 1.2882,                0.68241,                 1.0125,               0.007426,               0.007426,               0.007426
                     28,                 1.2985,                0.73634,                 1.0226,                0.83239,                0.56321,                0.64432,                0.36233,                 1.2876,                0.67904,                 1.0137,               0.007327,               0.007327,               0.007327
                     29,                 1.2991,                0.73497,                 1.0233,                0.81366,                0.57989,                0.65151,                0.36838,                 1.2847,                 0.6727,                 1.0117,               0.007228,               0.007228,               0.007228
                     30,                 1.2964,                0.73232,                  1.023,                0.82961,                0.56634,                0.65001,                0.36652,                 1.2813,                0.67004,                 1.0105,               0.007129,               0.007129,               0.007129
                     31,                 1.2896,                 0.7269,                 1.0176,                0.82258,                0.57646,                0.65382,                0.37244,                 1.2783,                0.66579,                 1.0081,                0.00703,                0.00703,                0.00703
                     32,                 1.2918,                0.72463,                 1.0196,                0.82268,                0.58381,                0.65773,                0.37427,                 1.2725,                0.65961,                 1.0073,               0.006931,               0.006931,               0.006931
                     33,                 1.2823,                 0.7188,                 1.0155,                0.83374,                0.57695,                0.65884,                0.37632,                 1.2672,                0.65682,                 1.0035,               0.006832,               0.006832,               0.006832
                     34,                 1.2829,                0.72076,                  1.015,                0.83974,                0.58088,                0.66412,                0.37859,                 1.2636,                0.65462,                 1.0013,               0.006733,               0.006733,               0.006733
                     35,                 1.2794,                0.71718,                 1.0129,                0.84085,                0.58153,                0.67397,                0.38116,                 1.2622,                0.65234,                 1.0013,               0.006634,               0.006634,               0.006634
                     36,                 1.2747,                0.71173,                 1.0118,                0.83741,                0.59711,                0.67721,                 0.3849,                 1.2601,                0.65102,                 1.0012,               0.006535,               0.006535,               0.006535
                     37,                 1.2636,                0.70651,                 1.0096,                0.84986,                 0.5899,                0.66949,                0.38435,                 1.2585,                 0.6467,                 1.0008,               0.006436,               0.006436,               0.006436
                     38,                 1.2679,                0.70513,                 1.0106,                0.84338,                0.59498,                0.67839,                0.38688,                 1.2554,                0.64372,                0.99919,               0.006337,               0.006337,               0.006337
                     39,                  1.262,                0.70137,                 1.0107,                0.84218,                 0.5965,                0.68085,                0.38978,                 1.2514,                 0.6413,                0.99828,               0.006238,               0.006238,               0.006238
