                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4432,                 1.0745,                 1.1037,                0.74422,                0.40739,                0.46048,                0.23772,                 1.4315,                0.83675,                 1.0741,              0.0033286,              0.0033286,              0.0033286
                      2,                 1.3843,                0.83204,                  1.074,                0.62635,                0.48193,                0.52332,                0.27086,                 1.4029,                0.81773,                 1.0841,               0.006596,               0.006596,               0.006596
                      3,                 1.4171,                0.86058,                 1.0965,                0.61469,                0.45243,                0.51001,                0.25232,                 1.4561,                0.90171,                 1.1273,              0.0097974,              0.0097974,              0.0097974
                      4,                  1.429,                0.86036,                 1.1151,                0.68731,                0.44925,                0.53995,                0.27653,                 1.4357,                0.83022,                 1.1334,               0.009703,               0.009703,               0.009703
                      5,                  1.392,                0.81613,                 1.1006,                0.75437,                 0.5015,                0.56908,                0.29437,                    1.4,                0.77904,                 1.1096,               0.009604,               0.009604,               0.009604
                      6,                 1.3551,                0.77588,                 1.0864,                0.78069,                0.52616,                0.58978,                 0.3138,                  1.377,                0.75355,                  1.097,               0.009505,               0.009505,               0.009505
                      7,                 1.3301,                0.75429,                 1.0746,                0.78796,                0.54467,                0.60786,                0.32513,                 1.3683,                0.73814,                 1.0957,               0.009406,               0.009406,               0.009406
                      8,                 1.3081,                0.73257,                 1.0665,                0.76699,                0.56378,                0.61819,                0.33464,                 1.3392,                0.70726,                 1.0812,               0.009307,               0.009307,               0.009307
                      9,                 1.2891,                0.71562,                 1.0584,                0.81687,                0.55988,                0.63849,                0.33995,                 1.3396,                 0.7033,                 1.0798,               0.009208,               0.009208,               0.009208
                     10,                 1.2771,                0.70502,                 1.0533,                0.82403,                 0.5628,                0.64835,                0.35477,                 1.3104,                0.68276,                  1.069,               0.009109,               0.009109,               0.009109
                     11,                 1.2611,                0.68867,                 1.0459,                 0.8102,                0.57379,                0.65036,                0.35263,                 1.3026,                 0.6715,                 1.0582,                0.00901,                0.00901,                0.00901
                     12,                 1.2456,                0.67527,                 1.0403,                0.84781,                0.57751,                0.67035,                0.37326,                 1.2878,                 0.6537,                 1.0583,               0.008911,               0.008911,               0.008911
                     13,                 1.2325,                0.66247,                 1.0342,                0.82217,                0.58715,                0.67495,                0.37582,                 1.2711,                0.64499,                 1.0466,               0.008812,               0.008812,               0.008812
                     14,                 1.2171,                0.65323,                 1.0305,                0.82122,                  0.597,                0.67529,                0.38376,                 1.2624,                0.62667,                 1.0443,               0.008713,               0.008713,               0.008713
                     15,                 1.2075,                0.64486,                  1.026,                0.85729,                0.59066,                0.68148,                0.39321,                 1.2527,                0.62674,                 1.0439,               0.008614,               0.008614,               0.008614
                     16,                 1.1956,                0.63491,                 1.0231,                0.84133,                0.59713,                0.68473,                0.39422,                 1.2474,                0.61322,                 1.0393,               0.008515,               0.008515,               0.008515
                     17,                 1.1906,                0.63097,                 1.0172,                0.84767,                0.61618,                 0.7124,                0.40626,                 1.2353,                0.60491,                 1.0296,               0.008416,               0.008416,               0.008416
                     18,                 1.1787,                0.62323,                  1.013,                0.84352,                0.60801,                0.70522,                0.40706,                 1.2264,                0.59495,                 1.0249,               0.008317,               0.008317,               0.008317
                     19,                 1.1648,                0.61555,                 1.0072,                 0.8339,                0.62517,                0.72088,                 0.4121,                 1.2154,                0.58933,                 1.0224,               0.008218,               0.008218,               0.008218
