                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5945,                 1.8962,                 1.1204,                0.53556,                0.26899,                0.22978,                0.11609,                 1.5554,                 1.1334,                 1.0867,              0.0033232,              0.0033232,              0.0033232
                      2,                 1.5382,                 1.2773,                 1.0982,                0.60178,                0.33631,                 0.3274,                0.16427,                  1.557,                  1.139,                 1.0998,              0.0066345,              0.0066345,              0.0066345
                      3,                 1.5502,                 1.1724,                 1.1126,                0.55107,                0.32963,                0.32627,                0.15734,                  1.578,                 1.2767,                 1.1351,              0.0099239,              0.0099239,              0.0099239
                      4,                 1.5471,                 1.0611,                 1.1213,                0.62506,                0.34317,                0.38062,                0.18954,                 1.5478,                 1.0078,                 1.1257,               0.009901,               0.009901,               0.009901
                      5,                 1.5063,                0.98183,                 1.1057,                0.64052,                0.33384,                0.38782,                0.19585,                  1.531,                 1.0512,                  1.112,               0.009868,               0.009868,               0.009868
                      6,                 1.4808,                0.94057,                 1.0953,                0.75073,                0.37358,                0.43838,                0.21836,                  1.499,                0.93983,                 1.0933,               0.009835,               0.009835,               0.009835
                      7,                 1.4636,                0.91495,                 1.0847,                0.68849,                0.41929,                0.45003,                0.23219,                  1.459,                0.90849,                 1.0847,               0.009802,               0.009802,               0.009802
                      8,                 1.4475,                0.89698,                 1.0792,                0.67352,                0.42019,                0.45727,                0.23956,                 1.4465,                0.88577,                 1.0836,               0.009769,               0.009769,               0.009769
                      9,                 1.4376,                0.88133,                 1.0749,                0.70527,                0.45575,                0.48304,                0.24957,                 1.4509,                   0.86,                 1.0764,               0.009736,               0.009736,               0.009736
                     10,                 1.4222,                0.86436,                 1.0673,                0.63224,                0.46118,                0.50045,                0.26132,                 1.4195,                 0.8496,                 1.0626,               0.009703,               0.009703,               0.009703
                     11,                 1.4117,                0.85156,                 1.0643,                0.65504,                0.46102,                0.51672,                0.27275,                 1.4257,                0.82518,                  1.062,                0.00967,                0.00967,                0.00967
                     12,                 1.4049,                0.84133,                 1.0596,                0.66414,                0.46707,                0.51514,                0.27504,                 1.4114,                  0.812,                 1.0584,               0.009637,               0.009637,               0.009637
                     13,                 1.3903,                0.82952,                 1.0566,                0.75718,                0.46872,                0.52772,                0.27864,                 1.4041,                 0.8061,                  1.056,               0.009604,               0.009604,               0.009604
                     14,                  1.389,                 0.8271,                 1.0529,                0.80538,                0.46768,                0.53609,                0.28963,                 1.3829,                0.80523,                 1.0443,               0.009571,               0.009571,               0.009571
                     15,                 1.3841,                0.82054,                  1.052,                0.70852,                0.47625,                0.54744,                0.29351,                 1.4007,                0.78618,                 1.0515,               0.009538,               0.009538,               0.009538
                     16,                 1.3736,                0.81119,                 1.0472,                 0.7695,                 0.4869,                0.55957,                0.30404,                 1.3763,                0.78085,                 1.0397,               0.009505,               0.009505,               0.009505
                     17,                 1.3704,                0.80575,                  1.045,                0.70756,                0.48965,                0.55818,                0.30635,                 1.3651,                0.76789,                 1.0393,               0.009472,               0.009472,               0.009472
                     18,                 1.3617,                0.79938,                 1.0416,                0.71193,                0.49471,                0.55882,                0.30457,                 1.3579,                0.76243,                 1.0351,               0.009439,               0.009439,               0.009439
                     19,                 1.3506,                0.79175,                 1.0373,                0.71371,                0.50277,                0.57307,                0.31313,                 1.3513,                0.75316,                 1.0316,               0.009406,               0.009406,               0.009406
                     20,                 1.3512,                0.78819,                 1.0351,                0.78709,                0.51094,                0.56648,                0.31001,                 1.3524,                0.74855,                  1.029,               0.009373,               0.009373,               0.009373
                     21,                 1.3528,                0.78659,                 1.0367,                0.80881,                0.50957,                0.58549,                 0.3238,                 1.3397,                0.73485,                 1.0279,                0.00934,                0.00934,                0.00934
                     22,                 1.3414,                0.78015,                 1.0334,                0.79017,                0.51102,                0.57679,                0.32007,                 1.3317,                0.72915,                 1.0239,               0.009307,               0.009307,               0.009307
                     23,                 1.3378,                0.77491,                 1.0337,                0.80703,                 0.5232,                0.58792,                0.32284,                  1.334,                0.72496,                 1.0253,               0.009274,               0.009274,               0.009274
                     24,                 1.3384,                0.77458,                 1.0315,                0.81731,                0.51407,                 0.5884,                0.32809,                 1.3242,                0.71568,                  1.021,               0.009241,               0.009241,               0.009241
                     25,                 1.3318,                0.76875,                 1.0301,                0.80026,                0.52598,                0.59254,                0.33123,                 1.3243,                 0.7154,                 1.0226,               0.009208,               0.009208,               0.009208
                     26,                 1.3296,                0.76552,                 1.0258,                0.80331,                0.52507,                0.58722,                0.33145,                 1.3159,                0.70605,                 1.0178,               0.009175,               0.009175,               0.009175
                     27,                 1.3207,                0.76159,                 1.0256,                0.81877,                0.53342,                0.60215,                0.33626,                 1.3123,                0.69952,                 1.0154,               0.009142,               0.009142,               0.009142
                     28,                 1.3231,                0.75982,                 1.0258,                0.81825,                0.54463,                0.61223,                0.34326,                 1.3104,                0.70268,                 1.0146,               0.009109,               0.009109,               0.009109
                     29,                 1.3154,                0.75322,                 1.0246,                0.82197,                0.52691,                0.60537,                0.33749,                  1.306,                0.69608,                 1.0134,               0.009076,               0.009076,               0.009076
                     30,                 1.3154,                0.75442,                 1.0238,                 0.8213,                0.54002,                0.61136,                0.34236,                 1.2998,                0.69132,                 1.0106,               0.009043,               0.009043,               0.009043
                     31,                 1.3066,                0.74757,                 1.0192,                0.82834,                0.53848,                0.60681,                0.34257,                 1.2969,                0.68685,                  1.011,                0.00901,                0.00901,                0.00901
                     32,                 1.3135,                0.74974,                 1.0215,                0.81347,                0.54148,                0.61171,                0.34686,                 1.2887,                0.68288,                 1.0078,               0.008977,               0.008977,               0.008977
                     33,                  1.304,                0.74456,                  1.018,                0.82406,                0.55467,                0.62113,                0.35118,                   1.29,                0.68176,                 1.0085,               0.008944,               0.008944,               0.008944
                     34,                 1.3039,                0.74305,                 1.0186,                0.82194,                0.55748,                0.62531,                0.35171,                 1.2894,                0.67963,                 1.0073,               0.008911,               0.008911,               0.008911
