                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2633,                0.70856,                 1.0043,                0.82511,                0.57215,                 0.6382,                0.36546,                   1.26,                0.64998,                0.99474,               0.008515,               0.008515,               0.008515
                     47,                 1.2757,                0.71993,                 1.0077,                0.83186,                0.56998,                0.63959,                0.36593,                 1.2582,                0.64896,                0.99415,               0.008482,               0.008482,               0.008482
                     48,                 1.2755,                0.71972,                 1.0075,                0.84406,                0.56626,                0.63986,                0.36652,                 1.2572,                0.64825,                0.99382,               0.008449,               0.008449,               0.008449
                     49,                 1.2755,                0.71767,                 1.0079,                0.84766,                0.56422,                0.64039,                0.36599,                 1.2568,                0.64746,                0.99332,               0.008416,               0.008416,               0.008416
                     50,                 1.2712,                0.71486,                 1.0057,                0.84686,                0.56592,                0.64119,                0.36629,                 1.2559,                0.64681,                0.99294,               0.008383,               0.008383,               0.008383
                     51,                 1.2662,                0.71261,                 1.0043,                0.84676,                0.56705,                0.64156,                0.36611,                 1.2549,                0.64648,                0.99253,                0.00835,                0.00835,                0.00835
                     52,                  1.265,                0.71218,                 1.0026,                0.84394,                0.56586,                0.64123,                0.36673,                 1.2536,                0.64555,                 0.9922,               0.008317,               0.008317,               0.008317
                     53,                 1.2636,                0.71129,                 1.0019,                 0.8397,                0.56624,                 0.6407,                0.36698,                  1.253,                0.64529,                0.99197,               0.008284,               0.008284,               0.008284
                     54,                 1.2655,                 0.7115,                 1.0032,                0.84117,                0.56254,                0.64006,                0.36752,                 1.2519,                0.64443,                0.99161,               0.008251,               0.008251,               0.008251
                     55,                 1.2616,                0.70754,                 1.0016,                0.83767,                0.56111,                 0.6389,                0.36776,                  1.251,                0.64395,                0.99131,               0.008218,               0.008218,               0.008218
                     56,                  1.258,                0.70559,                 1.0021,                0.83849,                0.56062,                0.63879,                0.36774,                 1.2506,                0.64326,                0.99114,               0.008185,               0.008185,               0.008185
                     57,                 1.2563,                 0.7043,                0.99989,                0.83479,                0.56261,                0.63908,                0.36829,                 1.2501,                0.64292,                0.99112,               0.008152,               0.008152,               0.008152
